ID,BILL_NUMBER,METHOD,TIP
188,5454,Gotówka,107
189,251396,Karta,18
190,7255,Bon,98
191,242831,Czek,119
192,267226,Bon,75
193,61731,Gotówka,77
194,12387,Gotówka,106
195,80753,Gotówka,26
196,29465,Gotówka,90
197,134524,Gotówka,136
198,235529,Karta,109
199,125873,Gotówka,34
200,229651,Karta,50
201,10206,Bon,142
202,253953,Karta,91
203,22497,Karta,2
204,208811,Czek,98
205,228427,Bon,147
206,295877,Karta,100
207,107120,Karta,119
208,241477,Bon,34
209,105353,Karta,32
210,123736,Bon,92
211,44241,Gotówka,79
212,194562,Bon,78
213,110219,Gotówka,101
214,246339,Bon,61
215,30638,Karta,121
216,267476,Karta,53
217,231193,Czek,79
218,110995,Gotówka,56
219,200446,Czek,3
220,16536,Karta,106
221,118374,Gotówka,24
222,122464,Czek,125
223,5970,Czek,117
224,195424,Czek,35
225,278927,Bon,98
226,147436,Karta,139
227,47569,Czek,86
228,219703,Bon,78
229,176211,Karta,63
230,46381,Karta,134
231,93938,Bon,102
232,230574,Karta,86
233,8101,Bon,37
234,8642,Karta,93
235,264150,Czek,71
236,171211,Gotówka,67
237,173336,Czek,136
238,116668,Bon,43
239,113027,Gotówka,29
240,288659,Gotówka,128
241,160659,Czek,133
242,164192,Bon,89
243,13536,Bon,51
244,237650,Gotówka,131
245,80717,Czek,100
246,264482,Czek,114
247,218129,Bon,28
248,129476,Czek,148
249,64705,Czek,55
250,289948,Bon,24
251,293521,Gotówka,50
252,223446,Czek,16
253,28914,Gotówka,85
254,45590,Karta,21
255,146516,Czek,121
256,79070,Karta,147
257,119835,Karta,54
258,206284,Karta,97
259,283679,Czek,34
260,233400,Gotówka,121
261,215384,Gotówka,120
262,49488,Gotówka,16
263,239461,Bon,100
264,210165,Karta,110
265,193414,Karta,94
266,260623,Gotówka,94
267,166286,Czek,138
268,261996,Czek,5
269,44304,Czek,26
270,207574,Gotówka,76
271,59917,Karta,15
272,262486,Czek,65
273,232918,Bon,91
274,227631,Bon,127
275,281315,Gotówka,127
276,132189,Czek,34
277,245927,Czek,148
278,289330,Gotówka,140
279,87862,Bon,71
280,232302,Gotówka,143
281,132593,Bon,130
282,203753,Czek,109
283,97107,Czek,40
284,206910,Gotówka,118
285,177926,Karta,10
286,5932,Karta,18
287,76998,Bon,104
288,291432,Bon,63
289,154486,Bon,92
290,292813,Gotówka,34
291,65790,Bon,100
292,61719,Czek,34
293,54930,Bon,9
294,101015,Bon,103
295,217474,Karta,103
296,36852,Bon,130
297,198175,Gotówka,89
298,27986,Karta,101
299,218018,Gotówka,27
300,200399,Karta,138
301,200924,Bon,125
302,28756,Bon,69
303,259982,Karta,17
304,214035,Gotówka,81
305,289467,Bon,113
306,299958,Bon,52
307,212662,Czek,89
308,155010,Gotówka,40
309,241987,Bon,72
310,196405,Czek,26
311,72795,Gotówka,51
312,289282,Gotówka,143
313,272757,Karta,28
314,20362,Czek,57
315,108118,Czek,136
316,206512,Czek,128
317,210669,Karta,140
318,108797,Bon,114
319,129793,Bon,8
320,59544,Bon,63
321,297070,Bon,148
322,89111,Gotówka,112
323,259176,Karta,111
324,99768,Karta,138
325,191546,Gotówka,123
326,183106,Karta,99
327,268799,Karta,50
328,224797,Gotówka,24
329,42914,Karta,76
330,189774,Gotówka,136
331,59853,Gotówka,0
332,241533,Czek,47
333,107253,Karta,76
334,289541,Bon,57
335,165243,Bon,105
336,258171,Bon,3
337,97366,Gotówka,86
338,236672,Bon,53
339,8213,Karta,68
340,25119,Bon,47
341,278027,Bon,138
342,7702,Gotówka,89
343,8789,Gotówka,43
344,8646,Karta,8
345,176217,Bon,22
346,82338,Karta,120
347,231869,Bon,71
348,133837,Bon,127
349,230970,Czek,70
350,120458,Bon,120
351,97524,Bon,66
352,190894,Gotówka,39
353,104602,Gotówka,129
354,195392,Bon,33
355,56420,Czek,66
356,216728,Karta,75
357,245748,Gotówka,16
358,162624,Karta,52
359,209419,Czek,61
360,16976,Czek,87
361,145470,Czek,28
362,152678,Bon,30
363,179384,Gotówka,17
364,48095,Gotówka,58
365,78650,Bon,100
366,9080,Gotówka,66
367,105208,Gotówka,57
368,82794,Czek,29
369,287068,Bon,122
370,129451,Karta,6
371,6514,Czek,134
372,223201,Czek,38
373,90686,Karta,109
374,7904,Karta,145
375,133557,Karta,87
376,22591,Czek,109
377,198439,Karta,84
378,179629,Gotówka,138
379,274317,Czek,46
380,269822,Karta,45
381,206541,Czek,117
382,249870,Bon,10
383,25477,Bon,20
384,158572,Gotówka,106
385,159893,Czek,117
386,281754,Czek,17
387,195654,Czek,144
388,295817,Bon,50
389,220121,Karta,86
390,282529,Bon,146
391,88092,Czek,117
392,283240,Czek,13
393,31532,Karta,145
394,80189,Gotówka,52
395,172736,Karta,9
396,19194,Gotówka,49
397,122608,Bon,5
398,3436,Czek,21
399,113558,Czek,117
400,21214,Karta,39
401,62002,Czek,72
402,125494,Karta,100
403,209483,Bon,29
404,124116,Karta,123
405,137601,Bon,135
406,143649,Gotówka,130
407,218049,Karta,98
408,260797,Czek,50
409,85228,Czek,79
410,210863,Karta,52
411,101809,Czek,29
412,253001,Gotówka,46
413,186660,Czek,71
414,1822,Gotówka,51
415,78658,Czek,137
416,212072,Czek,111
417,17077,Bon,104
418,133706,Gotówka,110
419,27289,Gotówka,67
420,245736,Czek,81
421,198374,Bon,3
422,192519,Gotówka,67
423,297757,Bon,142
424,160726,Karta,114
425,180578,Czek,86
426,114777,Gotówka,93
427,244615,Gotówka,116
428,271132,Karta,18
429,144732,Bon,12
430,104772,Czek,149
431,291836,Bon,0
432,220029,Czek,147
433,100907,Bon,101
434,58398,Bon,1
435,66624,Czek,29
436,91392,Bon,52
437,236462,Karta,90
438,275667,Czek,70
439,47184,Gotówka,140
440,223862,Czek,50
441,298292,Gotówka,89
442,44989,Czek,138
443,164579,Czek,138
444,35675,Bon,2
445,261776,Bon,78
446,169568,Bon,32
447,101635,Czek,87
448,143851,Czek,29
449,251660,Czek,74
450,197278,Czek,127
451,234503,Czek,121
452,223030,Gotówka,139
453,78861,Gotówka,28
454,82627,Bon,7
455,111516,Bon,20
456,99974,Gotówka,65
457,235323,Karta,111
458,285390,Bon,84
459,192174,Karta,72
460,162976,Karta,43
461,210274,Gotówka,133
462,97718,Karta,101
463,11225,Czek,149
464,172866,Karta,17
465,107754,Czek,16
466,265890,Gotówka,7
467,156509,Czek,127
468,284605,Gotówka,99
469,177698,Czek,115
470,146804,Czek,131
471,31301,Czek,52
472,273815,Karta,36
473,37033,Gotówka,141
474,114129,Czek,144
475,221303,Czek,38
476,48830,Czek,36
477,50342,Bon,90
478,107,Czek,109
479,65271,Gotówka,87
480,199771,Bon,91
481,63827,Gotówka,16
482,92695,Gotówka,8
483,67340,Gotówka,28
484,18991,Czek,20
485,154791,Gotówka,3
486,208413,Gotówka,25
487,250077,Bon,82
488,237583,Gotówka,71
489,87403,Bon,39
490,263384,Karta,118
491,121192,Bon,96
492,62659,Gotówka,120
493,237485,Karta,103
494,36264,Czek,46
495,283879,Gotówka,48
496,152712,Bon,37
497,229650,Bon,120
498,218282,Bon,39
499,244377,Czek,72
500,271228,Czek,84
501,251007,Gotówka,88
502,221456,Karta,88
503,183075,Bon,149
504,52699,Czek,105
505,220576,Czek,35
506,106552,Gotówka,35
507,247691,Bon,24
508,123851,Czek,13
509,213196,Gotówka,66
510,117750,Bon,72
511,287360,Bon,131
512,141600,Karta,7
513,181381,Bon,28
514,2062,Karta,10
515,205687,Karta,25
516,137325,Czek,78
517,171839,Gotówka,92
518,274410,Czek,42
519,130434,Gotówka,107
520,64594,Karta,106
521,124462,Karta,87
522,39636,Bon,48
523,175285,Bon,65
524,166414,Czek,142
525,174472,Gotówka,20
526,294193,Czek,84
527,168480,Karta,119
528,101787,Czek,53
529,73021,Karta,98
530,187264,Gotówka,62
531,115194,Karta,73
532,5639,Gotówka,90
533,80384,Gotówka,78
534,294217,Bon,57
535,160842,Karta,114
536,45703,Bon,61
537,193613,Bon,135
538,110457,Bon,110
539,234437,Czek,10
540,49770,Karta,102
541,218355,Bon,144
542,188100,Karta,54
543,256878,Karta,44
544,285201,Czek,99
545,24440,Gotówka,85
546,145038,Karta,148
547,167648,Bon,12
548,233154,Bon,135
549,178418,Czek,105
550,192937,Czek,147
551,162234,Bon,65
552,118658,Karta,77
553,178855,Karta,29
554,263593,Czek,91
555,282875,Czek,102
556,15039,Gotówka,114
557,110222,Gotówka,17
558,103138,Gotówka,26
559,246294,Czek,87
560,119919,Czek,116
561,79767,Gotówka,144
562,98555,Czek,10
563,59156,Gotówka,63
564,171415,Gotówka,17
565,107370,Czek,89
566,44285,Czek,106
567,167390,Bon,23
568,213668,Bon,112
569,38404,Karta,120
570,181473,Gotówka,103
571,82130,Karta,110
572,109857,Karta,11
573,210706,Bon,116
574,54012,Bon,147
575,254036,Czek,148
576,260129,Bon,148
577,283052,Czek,97
578,23390,Bon,139
579,170233,Karta,10
580,139578,Gotówka,136
581,120914,Karta,101
582,234130,Gotówka,129
583,77798,Bon,90
584,113690,Bon,35
585,125903,Czek,59
586,64189,Bon,25
587,150736,Gotówka,74
588,207041,Czek,107
589,102099,Gotówka,1
590,60584,Czek,20
591,102386,Karta,45
592,133080,Gotówka,34
593,229408,Czek,112
594,9266,Bon,129
595,225562,Gotówka,150
596,275028,Karta,90
597,18230,Karta,12
598,51634,Karta,150
599,92355,Czek,56
600,249517,Bon,118
601,58905,Karta,10
602,64035,Karta,142
603,5464,Karta,44
604,156313,Karta,35
605,232762,Czek,92
606,13746,Gotówka,5
607,20434,Gotówka,77
608,71544,Gotówka,22
609,171859,Karta,54
610,167812,Gotówka,60
611,103806,Bon,110
612,257208,Czek,39
613,3991,Bon,31
614,243674,Gotówka,7
615,225124,Czek,40
616,185904,Gotówka,80
617,44511,Bon,148
618,84760,Czek,148
619,92186,Karta,41
620,175085,Bon,140
621,34211,Karta,1
622,171402,Karta,28
623,137787,Gotówka,12
624,63910,Karta,71
625,81459,Bon,59
626,108931,Karta,108
627,168603,Bon,122
628,276011,Czek,109
629,171933,Bon,38
630,119366,Czek,89
631,135879,Gotówka,42
632,264206,Czek,51
633,109536,Bon,142
634,21666,Karta,78
635,131750,Czek,100
636,214363,Karta,71
637,183047,Bon,15
638,245983,Gotówka,86
639,10419,Gotówka,147
640,143807,Gotówka,127
641,112039,Czek,30
642,76194,Czek,100
643,101695,Czek,26
644,42777,Bon,144
645,285984,Czek,69
646,162933,Bon,90
647,215871,Bon,114
648,60889,Gotówka,44
649,217955,Bon,58
650,276312,Bon,0
651,114647,Czek,68
652,59045,Bon,79
653,116363,Karta,122
654,161640,Bon,84
655,167517,Gotówka,148
656,121973,Karta,136
657,60168,Karta,31
658,90088,Bon,146
659,202413,Karta,52
660,243279,Bon,78
661,244208,Karta,41
662,89285,Gotówka,87
663,226972,Karta,75
664,70270,Bon,22
665,87700,Karta,120
666,179233,Bon,76
667,145445,Karta,138
668,195551,Czek,136
669,247129,Bon,75
670,125011,Karta,47
671,102768,Bon,83
672,188075,Czek,47
673,88213,Bon,73
674,175457,Karta,37
675,155331,Karta,4
676,1840,Bon,20
677,116693,Gotówka,140
678,32373,Czek,150
679,252525,Bon,85
680,254657,Czek,48
681,96806,Bon,30
682,56001,Czek,94
683,256164,Gotówka,84
684,71453,Bon,71
685,159745,Karta,16
686,79085,Bon,98
687,236216,Gotówka,32
688,226228,Karta,9
689,215693,Bon,103
690,210651,Karta,43
691,121180,Karta,121
692,279443,Czek,145
693,240815,Czek,65
694,159058,Czek,117
695,221600,Karta,116
696,153321,Czek,112
697,183270,Czek,94
698,42884,Czek,104
699,7742,Czek,82
700,106647,Czek,10
701,476,Gotówka,118
702,272421,Karta,29
703,52714,Karta,49
704,69352,Bon,7
705,175936,Karta,71
706,204665,Gotówka,81
707,169764,Gotówka,5
708,18573,Czek,30
709,220688,Karta,128
710,253863,Gotówka,101
711,223249,Gotówka,82
712,213049,Gotówka,47
713,149770,Czek,21
714,234587,Gotówka,37
715,199059,Karta,95
716,41905,Czek,124
717,12447,Karta,43
718,148381,Bon,21
719,231719,Karta,73
720,221243,Karta,44
721,164251,Czek,1
722,296666,Bon,54
723,132666,Gotówka,127
724,182662,Czek,64
725,123984,Gotówka,118
726,102668,Czek,135
727,276473,Czek,38
728,5664,Bon,20
729,155457,Karta,78
730,86024,Bon,144
731,117632,Karta,43
732,171260,Czek,114
733,247166,Karta,13
734,91125,Karta,47
735,14480,Karta,93
736,188076,Czek,132
737,156748,Bon,93
738,16002,Bon,29
739,259441,Gotówka,33
740,46372,Gotówka,123
741,49747,Czek,63
742,533,Czek,132
743,101233,Gotówka,17
744,13820,Bon,78
745,57874,Gotówka,5
746,61058,Gotówka,11
747,95867,Karta,14
748,115683,Bon,73
749,237049,Czek,11
750,86219,Karta,28
751,91786,Bon,116
752,50744,Gotówka,6
753,54148,Gotówka,119
754,27626,Karta,34
755,259961,Bon,132
756,225673,Bon,54
757,148096,Czek,91
758,5094,Karta,93
759,167362,Karta,4
760,34344,Bon,87
761,120666,Czek,135
762,262061,Bon,100
763,270771,Bon,146
764,125248,Gotówka,61
765,39861,Czek,89
766,77312,Gotówka,20
767,170587,Karta,89
768,193859,Karta,6
769,147900,Bon,126
770,174047,Bon,34
771,123865,Bon,134
772,293102,Karta,100
773,229704,Czek,41
774,73173,Gotówka,61
775,51991,Gotówka,5
776,299270,Czek,97
777,114646,Bon,17
778,189366,Gotówka,125
779,10337,Karta,96
780,283015,Karta,26
781,268784,Czek,107
782,464,Karta,5
783,282610,Bon,25
784,275777,Czek,7
785,298276,Gotówka,35
786,227927,Czek,149
787,66935,Karta,47
788,178921,Karta,13
789,170734,Czek,5
790,208783,Karta,145
791,244981,Karta,102
792,15651,Karta,15
793,290502,Karta,114
794,50088,Czek,3
795,237367,Karta,56
796,189272,Czek,12
797,204313,Bon,34
798,274240,Bon,93
799,48372,Gotówka,113
800,78054,Czek,1
801,299137,Gotówka,78
802,242608,Gotówka,45
803,60536,Gotówka,123
804,48278,Gotówka,111
805,17307,Karta,86
806,144955,Karta,53
807,195518,Gotówka,52
808,208588,Gotówka,42
809,294479,Karta,106
810,119365,Czek,11
811,251710,Gotówka,108
812,73131,Gotówka,27
813,190394,Bon,128
814,76952,Bon,136
815,268843,Gotówka,94
816,56366,Karta,26
817,169672,Czek,53
818,101269,Czek,129
819,131905,Karta,24
820,64727,Gotówka,73
821,223734,Czek,113
822,107924,Karta,131
823,122183,Bon,132
824,190768,Karta,109
825,259608,Bon,26
826,144709,Karta,109
827,177112,Karta,84
828,74117,Czek,122
829,75004,Bon,120
830,91170,Czek,1
831,294729,Czek,133
832,49258,Czek,138
833,299818,Czek,125
834,46819,Gotówka,38
835,79419,Gotówka,43
836,32630,Czek,113
837,90771,Gotówka,30
838,100895,Czek,20
839,266406,Gotówka,121
840,49116,Gotówka,32
841,182121,Gotówka,69
842,73082,Czek,144
843,289368,Gotówka,59
844,204918,Gotówka,9
845,171019,Czek,65
846,284550,Karta,49
847,2836,Gotówka,97
848,209229,Gotówka,23
849,285750,Gotówka,41
850,256425,Bon,117
851,275522,Karta,80
852,165331,Bon,25
853,99946,Czek,135
854,287452,Bon,131
855,199527,Karta,144
856,207761,Czek,81
857,100266,Gotówka,37
858,97528,Bon,129
859,84921,Czek,109
860,31287,Karta,47
861,295202,Karta,35
862,200413,Czek,107
863,177225,Gotówka,43
864,32752,Karta,57
865,298508,Czek,119
866,99088,Bon,14
867,98772,Gotówka,27
868,176217,Karta,16
869,215964,Gotówka,112
870,43119,Karta,4
871,146457,Czek,47
872,64293,Czek,147
873,70151,Bon,75
874,204058,Czek,130
875,168452,Czek,136
876,262400,Karta,24
877,275061,Gotówka,66
878,297198,Czek,61
879,21488,Gotówka,115
880,139837,Bon,128
881,74127,Bon,101
882,240126,Gotówka,108
883,2039,Bon,31
884,241742,Karta,137
885,285595,Gotówka,99
886,190195,Gotówka,92
887,158926,Gotówka,120
888,136928,Gotówka,98
889,8886,Bon,63
890,291380,Bon,93
891,76619,Gotówka,11
892,58737,Karta,65
893,64170,Gotówka,95
894,291003,Czek,55
895,224071,Czek,69
896,138257,Gotówka,87
897,259880,Gotówka,24
898,167777,Bon,107
899,198083,Gotówka,145
900,40783,Karta,27
901,5531,Gotówka,105
902,237792,Karta,75
903,35670,Gotówka,76
904,173867,Bon,45
905,35209,Czek,150
906,142262,Czek,27
907,13961,Karta,58
908,25766,Karta,98
909,13343,Czek,138
910,285637,Karta,104
911,213381,Gotówka,32
912,185072,Karta,82
913,126397,Karta,18
914,169814,Bon,90
915,261870,Czek,49
916,173448,Gotówka,135
917,168424,Gotówka,34
918,106027,Bon,111
919,98763,Czek,81
920,151681,Czek,89
921,264877,Karta,5
922,115718,Gotówka,24
923,68641,Bon,41
924,64764,Gotówka,32
925,81836,Gotówka,44
926,62036,Czek,46
927,55661,Bon,135
928,128579,Czek,39
929,1277,Czek,51
930,12376,Bon,128
931,241359,Karta,118
932,241460,Karta,56
933,147568,Gotówka,100
934,102679,Czek,142
935,17174,Czek,0
936,7487,Bon,13
937,90562,Bon,86
938,8383,Karta,118
939,177067,Gotówka,49
940,296122,Bon,37
941,77092,Karta,150
942,159978,Bon,12
943,30464,Czek,53
944,231545,Gotówka,80
945,230847,Gotówka,52
946,16988,Gotówka,124
947,295113,Bon,124
948,6991,Gotówka,61
949,122787,Bon,93
950,215159,Gotówka,96
951,264796,Karta,21
952,172409,Czek,107
953,227689,Czek,106
954,283492,Gotówka,134
955,175182,Karta,13
956,242734,Bon,10
957,169789,Gotówka,23
958,194340,Gotówka,67
959,200931,Czek,3
960,195842,Czek,114
961,232106,Gotówka,63
962,14700,Czek,100
963,86593,Karta,45
964,168905,Czek,78
965,272707,Czek,73
966,292251,Czek,26
967,166249,Karta,106
968,278868,Bon,103
969,45252,Karta,55
970,156441,Bon,105
971,161542,Czek,95
972,35446,Bon,51
973,13465,Bon,95
974,52175,Czek,138
975,262072,Czek,150
976,20949,Czek,103
977,105593,Karta,3
978,247786,Gotówka,143
979,20751,Czek,121
980,219064,Gotówka,58
981,131925,Bon,124
982,277621,Gotówka,96
983,65379,Gotówka,137
984,1218,Karta,0
985,92630,Czek,119
986,86192,Bon,80
987,5897,Czek,60
988,178794,Bon,124
989,64577,Gotówka,30
990,185505,Bon,13
991,23749,Karta,120
992,264909,Gotówka,11
993,43397,Bon,74
994,169013,Bon,128
995,282849,Gotówka,102
996,90136,Bon,4
997,92346,Bon,31
998,190018,Bon,114
999,292784,Gotówka,115
1000,279263,Gotówka,107
1001,110696,Czek,42
1002,41506,Gotówka,81
1003,272903,Bon,65
1004,44878,Bon,62
1005,52768,Czek,32
1006,139613,Bon,138
1007,260588,Czek,59
1008,111484,Karta,82
1009,11815,Gotówka,66
1010,169362,Czek,136
1011,118327,Czek,150
1012,169998,Karta,116
1013,211150,Gotówka,36
1014,200389,Karta,70
1015,85588,Karta,139
1016,41266,Karta,46
1017,33480,Bon,101
1018,9898,Czek,41
1019,219194,Karta,38
1020,264863,Czek,57
1021,32118,Bon,91
1022,69542,Gotówka,136
1023,238834,Bon,32
1024,77691,Czek,38
1025,67648,Czek,38
1026,227577,Karta,20
1027,240142,Bon,18
1028,286591,Gotówka,24
1029,264323,Gotówka,120
1030,28955,Karta,96
1031,294589,Gotówka,102
1032,87391,Karta,33
1033,3409,Gotówka,7
1034,14068,Gotówka,31
1035,224958,Bon,117
1036,166809,Bon,105
1037,130504,Gotówka,109
1038,59735,Karta,26
1039,262454,Bon,88
1040,112246,Bon,56
1041,55004,Bon,141
1042,37860,Gotówka,6
1043,80362,Czek,66
1044,153016,Karta,109
1045,277961,Gotówka,76
1046,246669,Czek,150
1047,116448,Gotówka,81
1048,107213,Bon,5
1049,195136,Bon,119
1050,225210,Gotówka,21
1051,44763,Karta,31
1052,163922,Karta,77
1053,67789,Bon,85
1054,7865,Karta,72
1055,6483,Karta,26
1056,101207,Gotówka,125
1057,3895,Karta,114
1058,169125,Czek,36
1059,266470,Karta,34
1060,175697,Bon,84
1061,211876,Karta,54
1062,135029,Czek,47
1063,128574,Czek,39
1064,165429,Bon,101
1065,1029,Czek,113
1066,279458,Czek,40
1067,183261,Czek,36
1068,105609,Czek,66
1069,184777,Karta,140
1070,43685,Gotówka,14
1071,101260,Czek,19
1072,200492,Karta,112
1073,92621,Gotówka,147
1074,181406,Gotówka,88
1075,177251,Gotówka,90
1076,147435,Karta,104
1077,20175,Czek,9
1078,174265,Gotówka,47
1079,125204,Gotówka,13
1080,144794,Gotówka,84
1081,157835,Karta,49
1082,25394,Czek,120
1083,189625,Gotówka,94
1084,105146,Czek,61
1085,240082,Karta,119
1086,175441,Bon,131
1087,156738,Gotówka,127
1088,56346,Czek,87
1089,155772,Gotówka,145
1090,167494,Gotówka,34
1091,87580,Czek,69
1092,166202,Czek,65
1093,34162,Bon,42
1094,71091,Karta,121
1095,44382,Karta,25
1096,44182,Bon,29
1097,60793,Bon,105
1098,34657,Bon,79
1099,42636,Czek,5
1100,59909,Gotówka,48
1101,29421,Czek,1
1102,247726,Gotówka,149
1103,71175,Gotówka,24
1104,100143,Gotówka,20
1105,98661,Karta,129
1106,82743,Czek,120
1107,35317,Karta,134
1108,282492,Czek,143
1109,274823,Czek,22
1110,118597,Karta,14
1111,279480,Czek,45
1112,66444,Gotówka,94
1113,88968,Bon,41
1114,140573,Czek,13
1115,121020,Czek,103
1116,52871,Karta,1
1117,221374,Czek,52
1118,201216,Czek,78
1119,185735,Karta,65
1120,198816,Czek,73
1121,277442,Gotówka,59
1122,119766,Karta,34
1123,180522,Bon,28
1124,160951,Gotówka,27
1125,133735,Czek,87
1126,264147,Bon,16
1127,38380,Karta,120
1128,289844,Bon,147
1129,96776,Gotówka,40
1130,32864,Czek,127
1131,179145,Gotówka,12
1132,273189,Karta,57
1133,268710,Bon,9
1134,218729,Gotówka,116
1135,217901,Karta,90
1136,146370,Bon,64
1137,188594,Karta,125
1138,281462,Gotówka,32
1139,226143,Czek,88
1140,243051,Karta,134
1141,32372,Karta,112
1142,102674,Czek,72
1143,296661,Gotówka,91
1144,23260,Bon,130
1145,296915,Karta,17
1146,241786,Gotówka,45
1147,234501,Karta,2
1148,124176,Gotówka,65
1149,131760,Bon,107
1150,120182,Karta,30
1151,250968,Bon,114
1152,57094,Gotówka,98
1153,52739,Gotówka,33
1154,76600,Bon,44
1155,290506,Karta,90
1156,291655,Czek,114
1157,93757,Czek,120
1158,245981,Gotówka,104
1159,158599,Czek,95
1160,165530,Bon,33
1161,250426,Gotówka,13
1162,175782,Karta,127
1163,164983,Gotówka,10
1164,236240,Bon,16
1165,18880,Czek,124
1166,20912,Czek,83
1167,278363,Karta,141
1168,9961,Czek,85
1169,15259,Bon,120
1170,89273,Karta,70
1171,75014,Bon,107
1172,299496,Karta,19
1173,220322,Gotówka,92
1174,95859,Karta,6
1175,202197,Gotówka,38
1176,49057,Karta,140
1177,279425,Bon,40
1178,271840,Gotówka,22
1179,222795,Gotówka,50
1180,142239,Bon,98
1181,138586,Bon,41
1182,38743,Gotówka,45
1183,209402,Karta,132
1184,292340,Czek,75
1185,293268,Bon,68
1186,244157,Karta,0
1187,286880,Czek,3
1188,262633,Czek,24
1189,32457,Gotówka,6
1190,98684,Czek,147
1191,28340,Gotówka,143
1192,89897,Bon,111
1193,192003,Czek,48
1194,112974,Czek,37
1195,100151,Gotówka,94
1196,100294,Karta,20
