ID,GENDER,TYPE,AGE
150,K,Stały klient,22
151,M,Pracownik,23
152,K,Stały klient,40
153,K,Zwykły,77
154,K,Pracownik,36
155,M,Stały klient,20
156,K,Zwykły,41
157,M,Pracownik,24
158,M,Stały klient,41
159,M,Stały klient,50
160,K,Pracownik,33
161,M,Stały klient,46
162,K,Stały klient,80
163,K,Zwykły,37
164,M,Pracownik,78
165,K,Zwykły,49
166,K,Stały klient,75
167,K,Stały klient,0
168,M,Zwykły,20
169,K,Stały klient,37
170,K,Pracownik,21
171,K,Stały klient,66
172,M,Zwykły,29
173,K,Stały klient,18
174,M,Stały klient,56
175,M,Zwykły,65
176,K,Pracownik,56
177,M,Zwykły,40
178,M,Zwykły,39
179,K,Pracownik,68
180,M,Stały klient,4
181,K,Stały klient,47
182,M,Stały klient,3
183,M,Zwykły,5
184,K,Pracownik,49
185,K,Pracownik,33
186,M,Zwykły,46
187,K,Pracownik,30
188,M,Pracownik,25
189,K,Stały klient,73
190,M,Stały klient,73
191,M,Zwykły,40
192,K,Stały klient,10
193,K,Stały klient,24
194,K,Pracownik,12
195,K,Pracownik,5
196,M,Zwykły,10
197,K,Zwykły,2
198,M,Pracownik,49
199,K,Stały klient,32
200,K,Stały klient,20
201,K,Stały klient,46
202,M,Stały klient,16
203,K,Pracownik,18
204,K,Stały klient,77
205,M,Zwykły,16
206,K,Pracownik,53
207,K,Pracownik,7
208,K,Zwykły,43
209,M,Zwykły,66
210,M,Stały klient,35
211,K,Pracownik,3
212,K,Zwykły,47
213,K,Zwykły,65
214,K,Stały klient,3
215,K,Stały klient,10
216,M,Stały klient,31
217,M,Pracownik,52
218,M,Zwykły,73
219,K,Stały klient,49
220,M,Stały klient,71
221,K,Zwykły,59
222,K,Stały klient,77
223,K,Pracownik,38
224,K,Zwykły,12
225,M,Pracownik,6
226,K,Zwykły,62
227,M,Stały klient,29
228,K,Stały klient,9
229,M,Pracownik,21
230,M,Zwykły,2
231,M,Zwykły,33
232,K,Zwykły,20
233,M,Zwykły,68
234,M,Stały klient,55
235,K,Stały klient,75
236,K,Stały klient,35
237,K,Stały klient,1
238,K,Pracownik,22
239,K,Stały klient,51
240,M,Zwykły,77
241,M,Pracownik,56
242,M,Stały klient,39
243,M,Stały klient,38
244,K,Stały klient,33
245,K,Pracownik,61
246,K,Zwykły,66
247,K,Stały klient,74
248,K,Pracownik,27
249,K,Stały klient,28
250,K,Zwykły,31
251,M,Stały klient,62
252,K,Stały klient,41
253,M,Stały klient,23
254,M,Zwykły,17
255,K,Zwykły,70
256,M,Zwykły,72
257,K,Zwykły,10
258,M,Stały klient,7
259,K,Pracownik,45
260,K,Zwykły,48
261,K,Stały klient,49
262,K,Zwykły,26
263,M,Pracownik,18
264,M,Zwykły,44
265,K,Stały klient,22
266,K,Stały klient,52
267,K,Zwykły,49
268,K,Zwykły,15
269,K,Stały klient,28
270,K,Pracownik,36
271,K,Zwykły,49
272,K,Stały klient,68
273,K,Zwykły,2
274,K,Pracownik,63
275,K,Stały klient,23
276,M,Pracownik,60
277,K,Pracownik,55
278,K,Zwykły,72
279,M,Zwykły,43
280,K,Stały klient,30
281,K,Pracownik,5
282,M,Pracownik,53
283,K,Pracownik,21
284,M,Stały klient,27
285,M,Pracownik,27
286,K,Zwykły,10
287,M,Zwykły,10
288,M,Pracownik,24
289,K,Zwykły,56
290,M,Stały klient,0
291,M,Zwykły,31
292,M,Stały klient,74
293,M,Pracownik,68
294,K,Pracownik,13
295,M,Zwykły,8
296,M,Stały klient,69
297,M,Pracownik,16
298,K,Pracownik,26
299,M,Zwykły,5
300,M,Zwykły,68
301,K,Zwykły,54
302,M,Stały klient,63
303,M,Pracownik,78
304,M,Stały klient,37
305,K,Stały klient,48
306,M,Zwykły,30
307,M,Zwykły,10
308,M,Stały klient,52
309,M,Stały klient,57
310,M,Pracownik,54
311,K,Stały klient,77
312,M,Stały klient,21
313,K,Pracownik,25
314,K,Zwykły,78
315,K,Pracownik,71
316,M,Stały klient,65
317,K,Stały klient,59
318,M,Pracownik,6
319,M,Zwykły,11
320,M,Stały klient,8
321,K,Pracownik,24
322,K,Zwykły,35
323,K,Stały klient,14
324,M,Pracownik,70
325,K,Pracownik,59
326,M,Stały klient,1
327,M,Pracownik,65
328,M,Pracownik,15
329,M,Stały klient,47
330,K,Pracownik,11
331,K,Stały klient,51
332,M,Zwykły,68
333,M,Pracownik,0
334,M,Pracownik,59
335,M,Pracownik,50
336,K,Zwykły,62
337,M,Pracownik,39
338,M,Zwykły,40
339,K,Stały klient,73
340,M,Zwykły,33
341,K,Pracownik,11
342,K,Pracownik,59
343,K,Pracownik,70
344,K,Stały klient,65
345,K,Zwykły,71
346,K,Stały klient,72
347,K,Pracownik,47
348,K,Stały klient,63
349,M,Stały klient,44
350,M,Zwykły,68
351,K,Stały klient,64
352,K,Zwykły,64
353,M,Stały klient,13
354,K,Stały klient,48
355,M,Pracownik,51
356,M,Stały klient,65
357,M,Zwykły,36
358,K,Zwykły,23
359,M,Pracownik,57
360,M,Pracownik,37
361,M,Stały klient,49
362,M,Stały klient,41
363,M,Zwykły,31
364,M,Zwykły,8
365,K,Pracownik,73
366,M,Pracownik,6
367,K,Zwykły,5
368,M,Zwykły,64
369,M,Stały klient,70
370,K,Pracownik,37
371,K,Zwykły,32
372,K,Pracownik,3
373,K,Zwykły,43
374,K,Pracownik,52
375,M,Stały klient,51
376,K,Zwykły,70
377,K,Stały klient,78
378,K,Stały klient,73
379,M,Zwykły,60
380,K,Pracownik,50
381,M,Pracownik,42
382,K,Zwykły,15
383,M,Zwykły,34
384,K,Stały klient,12
385,M,Pracownik,11
386,M,Pracownik,58
387,M,Stały klient,30
388,M,Zwykły,8
389,K,Pracownik,31
390,K,Stały klient,9
391,K,Stały klient,75
392,M,Stały klient,59
393,M,Stały klient,44
394,K,Stały klient,44
395,K,Zwykły,38
396,K,Zwykły,3
397,M,Stały klient,12
398,K,Pracownik,73
399,M,Zwykły,53
400,M,Zwykły,30
401,M,Stały klient,18
402,M,Stały klient,64
403,M,Zwykły,19
404,K,Stały klient,72
405,K,Stały klient,42
406,M,Stały klient,18
407,K,Stały klient,66
408,M,Zwykły,53
409,M,Pracownik,69
410,K,Stały klient,17
411,M,Stały klient,16
412,M,Stały klient,6
413,M,Zwykły,41
414,M,Zwykły,32
415,M,Stały klient,52
416,M,Pracownik,61
417,M,Zwykły,35
418,K,Pracownik,69
419,K,Stały klient,64
420,M,Pracownik,34
421,K,Pracownik,52
422,M,Zwykły,20
423,K,Zwykły,56
424,M,Stały klient,43
425,K,Stały klient,71
426,M,Pracownik,8
427,K,Stały klient,48
428,K,Stały klient,52
429,K,Pracownik,0
430,K,Stały klient,66
431,M,Pracownik,26
432,M,Zwykły,5
433,M,Zwykły,71
434,M,Zwykły,67
435,M,Pracownik,29
436,K,Pracownik,18
437,M,Stały klient,10
438,M,Pracownik,18
439,M,Stały klient,0
440,M,Stały klient,20
441,M,Zwykły,49
442,M,Stały klient,72
443,K,Zwykły,4
444,M,Pracownik,49
445,M,Zwykły,72
446,K,Zwykły,37
447,M,Pracownik,23
448,K,Zwykły,31
449,K,Pracownik,62
450,M,Zwykły,68
451,K,Zwykły,32
452,M,Stały klient,3
453,K,Zwykły,4
454,M,Stały klient,31
455,M,Pracownik,69
456,M,Stały klient,15
457,M,Zwykły,73
458,K,Zwykły,16
459,M,Stały klient,52
460,K,Pracownik,69
461,M,Stały klient,64
462,M,Stały klient,71
463,K,Stały klient,58
464,K,Stały klient,11
465,K,Zwykły,7
466,M,Zwykły,27
467,K,Pracownik,24
468,K,Pracownik,64
469,M,Pracownik,12
470,M,Pracownik,31
471,M,Stały klient,42
472,M,Pracownik,31
473,M,Stały klient,41
474,K,Pracownik,28
475,M,Zwykły,64
476,K,Pracownik,70
477,K,Stały klient,11
478,K,Pracownik,75
479,M,Stały klient,65
480,M,Pracownik,4
481,K,Pracownik,14
482,M,Stały klient,49
483,M,Pracownik,17
484,M,Stały klient,62
485,K,Zwykły,53
486,K,Zwykły,0
487,K,Pracownik,67
488,M,Pracownik,15
489,M,Stały klient,72
490,M,Pracownik,35
491,K,Stały klient,26
492,M,Stały klient,10
493,K,Pracownik,63
494,K,Pracownik,26
495,K,Zwykły,46
496,M,Pracownik,16
497,K,Stały klient,71
498,K,Pracownik,55
499,K,Stały klient,15
500,M,Stały klient,38
501,M,Pracownik,67
502,K,Stały klient,72
503,K,Stały klient,47
504,K,Stały klient,27
505,K,Stały klient,4
506,M,Stały klient,45
507,M,Pracownik,4
508,K,Pracownik,64
509,M,Stały klient,17
510,K,Stały klient,71
511,K,Pracownik,66
512,K,Stały klient,35
513,K,Zwykły,45
514,K,Pracownik,51
515,M,Pracownik,79
516,M,Zwykły,16
517,K,Zwykły,33
518,M,Stały klient,64
519,M,Stały klient,80
520,M,Zwykły,73
521,K,Stały klient,8
522,K,Pracownik,68
523,M,Pracownik,44
524,K,Zwykły,78
525,M,Zwykły,24
526,M,Stały klient,2
527,M,Zwykły,51
528,M,Pracownik,78
529,K,Stały klient,44
530,K,Stały klient,16
531,K,Stały klient,9
532,M,Stały klient,59
533,M,Stały klient,62
534,M,Zwykły,0
535,K,Stały klient,54
536,M,Stały klient,78
537,M,Zwykły,25
538,K,Pracownik,6
539,M,Pracownik,29
540,K,Pracownik,78
541,K,Stały klient,14
542,K,Zwykły,15
543,M,Pracownik,22
544,K,Zwykły,73
545,M,Zwykły,61
546,M,Stały klient,6
547,K,Pracownik,69
548,M,Zwykły,10
549,K,Zwykły,15
550,K,Pracownik,6
551,M,Stały klient,49
552,M,Pracownik,39
553,K,Stały klient,21
554,K,Zwykły,15
555,K,Pracownik,19
556,K,Zwykły,40
557,K,Pracownik,57
558,M,Stały klient,29
559,M,Pracownik,35
560,K,Stały klient,0
561,K,Pracownik,48
562,K,Zwykły,11
563,M,Zwykły,27
564,M,Zwykły,21
565,M,Stały klient,35
566,M,Pracownik,24
567,K,Stały klient,23
568,M,Zwykły,47
569,K,Stały klient,80
570,K,Pracownik,63
571,M,Pracownik,15
572,M,Zwykły,26
573,K,Stały klient,69
574,M,Pracownik,43
575,M,Pracownik,3
576,K,Pracownik,9
577,M,Pracownik,58
578,K,Zwykły,1
579,M,Zwykły,70
580,M,Pracownik,0
581,K,Zwykły,8
582,M,Pracownik,13
583,K,Pracownik,49
584,K,Zwykły,78
585,K,Pracownik,29
586,M,Pracownik,71
587,K,Pracownik,68
588,M,Pracownik,14
589,K,Zwykły,58
590,K,Zwykły,64
591,K,Stały klient,14
592,K,Zwykły,24
593,K,Zwykły,65
594,K,Stały klient,56
595,M,Stały klient,21
596,K,Pracownik,18
597,K,Pracownik,7
598,M,Zwykły,11
599,M,Stały klient,35
600,K,Stały klient,62
601,M,Stały klient,2
602,K,Pracownik,12
603,K,Stały klient,60
604,K,Stały klient,46
605,M,Stały klient,45
606,K,Zwykły,65
607,M,Stały klient,74
608,M,Zwykły,46
609,K,Zwykły,14
610,M,Stały klient,40
611,M,Stały klient,38
612,K,Pracownik,70
613,K,Stały klient,28
614,K,Pracownik,69
615,K,Pracownik,18
616,M,Zwykły,67
617,M,Pracownik,24
618,M,Pracownik,76
619,M,Stały klient,4
620,M,Stały klient,59
621,K,Zwykły,63
622,M,Pracownik,63
623,M,Stały klient,12
624,K,Stały klient,67
625,M,Stały klient,14
626,K,Stały klient,45
627,M,Stały klient,29
628,K,Stały klient,72
629,M,Stały klient,23
630,K,Zwykły,54
631,K,Stały klient,57
632,K,Pracownik,79
633,K,Zwykły,22
634,M,Stały klient,64
635,K,Zwykły,12
636,K,Pracownik,14
637,K,Pracownik,2
638,K,Pracownik,3
639,M,Pracownik,45
640,K,Stały klient,41
641,M,Zwykły,1
642,M,Stały klient,25
643,K,Pracownik,27
644,M,Pracownik,4
645,M,Pracownik,23
646,M,Zwykły,11
647,K,Pracownik,21
648,M,Pracownik,8
649,K,Stały klient,17
650,K,Stały klient,58
651,M,Stały klient,47
652,K,Zwykły,17
653,K,Stały klient,34
654,K,Stały klient,4
655,K,Pracownik,48
656,K,Pracownik,29
657,M,Zwykły,56
658,M,Zwykły,23
659,M,Zwykły,17
660,M,Pracownik,12
661,M,Pracownik,61
662,K,Pracownik,53
663,M,Stały klient,77
664,M,Zwykły,13
665,K,Zwykły,64
666,M,Stały klient,22
667,M,Zwykły,2
668,K,Pracownik,52
669,K,Zwykły,65
670,M,Stały klient,69
671,M,Stały klient,66
672,M,Pracownik,46
673,M,Zwykły,52
674,K,Stały klient,38
675,K,Pracownik,17
676,M,Stały klient,9
677,K,Zwykły,16
678,K,Pracownik,65
679,M,Zwykły,33
680,M,Pracownik,16
681,M,Zwykły,79
682,M,Zwykły,76
683,M,Pracownik,66
684,K,Pracownik,35
685,K,Pracownik,33
686,M,Zwykły,53
687,K,Zwykły,72
688,M,Zwykły,18
689,K,Stały klient,26
690,K,Pracownik,70
691,M,Pracownik,69
692,M,Stały klient,54
693,K,Zwykły,16
694,K,Zwykły,42
695,K,Stały klient,67
696,K,Pracownik,52
697,K,Stały klient,11
698,M,Zwykły,2
699,K,Zwykły,17
700,K,Zwykły,1
701,M,Zwykły,55
702,K,Zwykły,35
703,K,Pracownik,38
704,M,Pracownik,34
705,K,Pracownik,75
706,M,Stały klient,44
707,K,Pracownik,17
708,K,Stały klient,49
709,M,Zwykły,24
710,M,Stały klient,74
711,K,Pracownik,53
712,M,Zwykły,1
713,M,Stały klient,1
714,M,Zwykły,4
715,M,Pracownik,49
716,K,Zwykły,73
717,K,Zwykły,59
718,K,Pracownik,58
719,M,Zwykły,75
720,M,Zwykły,48
721,M,Pracownik,0
722,K,Zwykły,30
723,M,Zwykły,37
724,K,Stały klient,65
725,K,Pracownik,26
726,K,Zwykły,0
727,M,Zwykły,28
728,K,Zwykły,33
729,K,Zwykły,16
730,K,Zwykły,47
731,M,Stały klient,56
732,K,Pracownik,80
733,M,Zwykły,11
734,K,Pracownik,22
735,K,Zwykły,65
736,M,Zwykły,43
737,K,Zwykły,77
738,K,Stały klient,39
739,M,Zwykły,77
740,K,Zwykły,41
741,K,Zwykły,56
742,M,Zwykły,10
743,M,Pracownik,40
744,M,Zwykły,28
745,M,Stały klient,24
746,K,Pracownik,42
747,K,Stały klient,73
748,K,Pracownik,12
749,M,Zwykły,30
750,M,Stały klient,11
751,M,Stały klient,5
752,M,Zwykły,75
753,K,Pracownik,2
754,M,Pracownik,17
755,K,Zwykły,58
756,M,Pracownik,37
757,K,Stały klient,48
758,K,Zwykły,32
759,M,Zwykły,46
760,M,Zwykły,46
761,M,Pracownik,75
762,M,Stały klient,1
763,K,Pracownik,68
764,M,Zwykły,31
765,M,Zwykły,23
766,K,Stały klient,48
767,M,Zwykły,15
768,M,Pracownik,55
769,M,Stały klient,33
770,K,Stały klient,7
771,K,Pracownik,51
772,K,Zwykły,34
773,K,Stały klient,22
774,K,Pracownik,9
775,M,Zwykły,63
776,K,Pracownik,61
777,K,Pracownik,48
778,K,Stały klient,21
779,K,Pracownik,66
780,M,Zwykły,74
781,K,Zwykły,59
782,M,Zwykły,24
783,M,Pracownik,49
784,M,Pracownik,14
785,M,Stały klient,10
786,M,Zwykły,42
787,M,Stały klient,55
788,M,Zwykły,69
789,M,Zwykły,67
790,K,Pracownik,64
791,K,Zwykły,18
792,K,Stały klient,24
793,M,Zwykły,3
794,M,Stały klient,61
795,M,Zwykły,27
796,M,Stały klient,60
797,M,Zwykły,71
798,K,Stały klient,50
799,K,Zwykły,53
800,K,Pracownik,52
801,M,Zwykły,41
802,K,Pracownik,40
803,K,Pracownik,77
804,K,Stały klient,66
805,M,Pracownik,80
806,K,Pracownik,33
807,K,Stały klient,7
808,M,Zwykły,20
809,K,Zwykły,53
810,K,Zwykły,73
811,K,Zwykły,37
812,M,Stały klient,43
813,K,Pracownik,80
814,M,Pracownik,32
815,M,Pracownik,9
816,M,Stały klient,16
817,M,Stały klient,3
818,M,Stały klient,14
819,K,Zwykły,8
820,M,Pracownik,3
821,M,Pracownik,39
822,K,Pracownik,31
823,M,Stały klient,43
824,K,Stały klient,66
825,K,Stały klient,37
826,K,Zwykły,0
827,K,Zwykły,3
828,K,Zwykły,13
829,K,Pracownik,3
830,M,Stały klient,63
831,K,Zwykły,36
832,M,Zwykły,38
833,K,Stały klient,50
834,K,Pracownik,67
835,M,Zwykły,66
836,M,Zwykły,10
837,K,Zwykły,57
838,K,Zwykły,30
839,K,Zwykły,47
840,K,Stały klient,37
841,K,Zwykły,68
842,K,Pracownik,53
843,K,Stały klient,25
844,K,Pracownik,44
845,K,Pracownik,22
846,M,Stały klient,26
847,M,Zwykły,42
848,M,Zwykły,31
849,M,Stały klient,36
850,K,Stały klient,35
851,K,Stały klient,25
852,M,Pracownik,41
853,M,Pracownik,64
854,M,Pracownik,11
855,K,Pracownik,22
856,K,Zwykły,78
857,K,Stały klient,32
858,M,Zwykły,67
859,K,Stały klient,8
860,K,Stały klient,79
861,K,Pracownik,46
862,M,Stały klient,50
863,M,Stały klient,34
864,K,Zwykły,64
865,K,Zwykły,22
866,K,Pracownik,54
867,M,Stały klient,22
868,M,Zwykły,48
869,K,Stały klient,61
870,M,Pracownik,2
871,K,Stały klient,55
872,K,Stały klient,11
873,K,Pracownik,75
874,M,Zwykły,12
875,M,Zwykły,62
876,K,Pracownik,51
877,M,Zwykły,54
878,K,Zwykły,72
879,M,Stały klient,58
880,M,Zwykły,34
881,K,Pracownik,56
882,M,Pracownik,27
883,M,Pracownik,4
884,M,Pracownik,6
885,M,Zwykły,49
886,M,Zwykły,7
887,K,Pracownik,43
888,M,Pracownik,77
889,M,Stały klient,3
890,K,Stały klient,61
891,K,Stały klient,53
892,K,Pracownik,20
893,K,Stały klient,23
894,K,Zwykły,13
895,K,Stały klient,7
896,M,Pracownik,39
897,K,Zwykły,27
898,K,Pracownik,52
899,M,Stały klient,18
900,M,Pracownik,2
901,M,Pracownik,42
902,M,Pracownik,19
903,K,Zwykły,70
904,M,Zwykły,22
905,M,Pracownik,75
906,K,Stały klient,71
907,M,Pracownik,24
908,K,Zwykły,69
909,K,Zwykły,12
910,M,Pracownik,25
911,M,Stały klient,7
912,K,Stały klient,11
913,M,Pracownik,64
914,K,Pracownik,24
915,K,Pracownik,54
916,K,Stały klient,33
917,K,Zwykły,19
918,M,Pracownik,17
919,M,Stały klient,58
920,K,Pracownik,66
921,M,Pracownik,73
922,K,Zwykły,62
923,M,Stały klient,18
924,K,Zwykły,43
925,K,Pracownik,31
926,M,Pracownik,20
927,K,Pracownik,68
928,M,Pracownik,41
929,K,Zwykły,3
930,M,Stały klient,0
931,K,Pracownik,29
932,K,Stały klient,13
933,M,Stały klient,7
934,K,Zwykły,66
935,K,Stały klient,17
936,K,Stały klient,23
937,K,Zwykły,68
938,M,Stały klient,36
939,M,Zwykły,65
940,M,Pracownik,64
941,K,Stały klient,74
942,M,Stały klient,6
943,K,Zwykły,19
944,K,Stały klient,74
945,K,Pracownik,13
946,M,Stały klient,8
947,M,Stały klient,23
948,K,Zwykły,1
949,M,Zwykły,15
950,K,Pracownik,18
951,M,Stały klient,54
952,K,Stały klient,26
953,K,Pracownik,79
954,M,Pracownik,30
955,M,Pracownik,69
956,K,Zwykły,76
957,M,Stały klient,61
958,M,Zwykły,35
959,K,Stały klient,25
960,M,Zwykły,60
961,M,Pracownik,77
962,K,Pracownik,37
963,K,Pracownik,16
964,K,Zwykły,77
965,K,Pracownik,21
966,M,Stały klient,54
967,M,Zwykły,71
968,K,Pracownik,30
969,M,Stały klient,1
970,M,Stały klient,11
971,K,Stały klient,11
972,M,Stały klient,22
973,K,Stały klient,26
974,K,Zwykły,70
975,M,Stały klient,55
976,M,Pracownik,47
977,M,Pracownik,73
978,M,Pracownik,6
979,K,Stały klient,6
980,K,Stały klient,60
981,K,Pracownik,7
982,M,Stały klient,76
983,M,Stały klient,2
984,M,Pracownik,11
985,M,Stały klient,1
986,K,Pracownik,36
987,M,Zwykły,12
988,K,Pracownik,33
989,M,Pracownik,45
990,M,Stały klient,58
991,M,Zwykły,1
992,M,Pracownik,65
993,M,Zwykły,15
994,K,Pracownik,61
995,K,Zwykły,45
996,K,Pracownik,32
997,K,Stały klient,20
998,M,Stały klient,31
999,K,Zwykły,25
1000,M,Pracownik,64
1001,M,Stały klient,10
1002,M,Pracownik,56
1003,M,Stały klient,22
1004,K,Stały klient,71
1005,M,Pracownik,16
1006,M,Pracownik,68
1007,M,Zwykły,50
1008,M,Pracownik,38
1009,K,Pracownik,45
1010,K,Zwykły,79
1011,K,Stały klient,15
1012,K,Stały klient,8
1013,K,Zwykły,47
1014,M,Zwykły,48
1015,M,Stały klient,20
1016,K,Zwykły,61
1017,K,Pracownik,15
1018,M,Pracownik,32
1019,M,Zwykły,46
1020,K,Zwykły,46
1021,M,Stały klient,12
1022,M,Pracownik,68
1023,K,Pracownik,50
1024,K,Zwykły,55
1025,M,Pracownik,5
1026,K,Zwykły,63
1027,M,Stały klient,37
1028,K,Stały klient,15
1029,M,Zwykły,61
1030,K,Pracownik,7
1031,K,Zwykły,75
1032,K,Pracownik,34
1033,M,Pracownik,42
1034,K,Stały klient,27
1035,M,Zwykły,32
1036,K,Zwykły,35
1037,K,Pracownik,30
1038,K,Zwykły,4
1039,M,Zwykły,12
1040,K,Pracownik,62
1041,K,Pracownik,56
1042,M,Stały klient,25
1043,M,Zwykły,77
1044,M,Pracownik,35
1045,K,Stały klient,53
1046,K,Pracownik,7
1047,M,Stały klient,32
1048,K,Stały klient,33
1049,M,Stały klient,64
1050,K,Stały klient,27
1051,M,Pracownik,59
1052,M,Pracownik,12
1053,K,Stały klient,52
1054,K,Zwykły,9
1055,K,Pracownik,79
1056,M,Zwykły,30
1057,K,Pracownik,20
1058,M,Pracownik,56
1059,K,Pracownik,61
1060,K,Zwykły,43
1061,M,Zwykły,3
1062,M,Stały klient,13
1063,K,Stały klient,44
1064,K,Zwykły,6
1065,M,Pracownik,20
1066,M,Stały klient,31
1067,K,Zwykły,1
1068,K,Zwykły,55
1069,M,Pracownik,39
1070,M,Pracownik,68
1071,K,Pracownik,42
1072,K,Zwykły,36
1073,M,Pracownik,17
1074,K,Stały klient,46
1075,K,Stały klient,38
1076,K,Zwykły,37
1077,K,Zwykły,21
1078,M,Pracownik,16
1079,K,Pracownik,38
1080,M,Zwykły,54
1081,K,Stały klient,3
1082,M,Zwykły,3
1083,K,Stały klient,63
1084,K,Zwykły,50
1085,K,Pracownik,49
1086,K,Pracownik,38
1087,K,Stały klient,45
1088,M,Pracownik,37
1089,K,Pracownik,9
1090,M,Pracownik,36
1091,K,Zwykły,61
1092,K,Pracownik,53
1093,M,Zwykły,49
1094,M,Pracownik,60
1095,K,Stały klient,36
1096,M,Stały klient,80
1097,M,Stały klient,16
1098,K,Pracownik,1
1099,M,Pracownik,64
1100,K,Zwykły,57
1101,M,Zwykły,61
1102,M,Stały klient,12
1103,M,Zwykły,25
1104,M,Zwykły,34
1105,K,Stały klient,78
1106,M,Pracownik,45
1107,K,Zwykły,14
1108,K,Stały klient,30
1109,M,Pracownik,79
1110,K,Stały klient,57
1111,M,Stały klient,26
1112,K,Zwykły,50
1113,M,Stały klient,61
1114,K,Pracownik,66
1115,K,Stały klient,9
1116,M,Zwykły,12
1117,M,Pracownik,37
1118,K,Stały klient,75
1119,K,Stały klient,58
1120,M,Zwykły,18
1121,K,Stały klient,18
1122,M,Zwykły,35
1123,K,Pracownik,32
1124,K,Zwykły,3
1125,K,Zwykły,56
1126,M,Zwykły,10
1127,K,Stały klient,63
1128,K,Zwykły,79
1129,K,Pracownik,12
1130,M,Zwykły,0
1131,K,Zwykły,77
1132,M,Pracownik,64
1133,K,Pracownik,39
1134,M,Stały klient,50
1135,K,Pracownik,48
1136,M,Stały klient,2
1137,M,Zwykły,7
1138,M,Zwykły,30
1139,K,Zwykły,56
1140,M,Pracownik,2
1141,M,Zwykły,45
1142,K,Pracownik,28
1143,K,Zwykły,41
1144,M,Pracownik,59
1145,K,Stały klient,50
1146,M,Zwykły,12
1147,K,Zwykły,14
1148,M,Stały klient,73
1149,M,Stały klient,4
1150,K,Pracownik,44
1151,M,Pracownik,80
