ID,GENDER,AGE,TYPE
332,M,68,Zwykły
333,M,0,Pracownik
334,M,59,Pracownik
335,M,50,Pracownik
336,K,62,Zwykły
337,M,39,Pracownik
338,M,40,Zwykły
339,K,73,Stały klient
340,M,33,Zwykły
341,K,11,Pracownik
342,K,59,Pracownik
343,K,70,Pracownik
344,K,65,Stały klient
345,K,71,Zwykły
346,K,72,Stały klient
347,K,47,Pracownik
348,K,63,Stały klient
349,M,44,Stały klient
350,M,68,Zwykły
351,K,64,Stały klient
352,K,64,Zwykły
353,M,13,Stały klient
354,K,48,Stały klient
355,M,51,Pracownik
356,M,65,Stały klient
357,M,36,Zwykły
358,K,23,Zwykły
359,M,57,Pracownik
360,M,37,Pracownik
361,M,49,Stały klient
362,M,41,Stały klient
363,M,31,Zwykły
364,M,8,Zwykły
365,K,73,Pracownik
366,M,6,Pracownik
367,K,5,Zwykły
368,M,64,Zwykły
369,M,70,Stały klient
370,K,37,Pracownik
371,K,32,Zwykły
372,K,3,Pracownik
373,K,43,Zwykły
374,K,52,Pracownik
375,M,51,Stały klient
376,K,70,Zwykły
377,K,78,Stały klient
378,K,73,Stały klient
379,M,60,Zwykły
380,K,50,Pracownik
381,M,42,Pracownik
382,K,15,Zwykły
383,M,34,Zwykły
384,K,12,Stały klient
385,M,11,Pracownik
386,M,58,Pracownik
387,M,30,Stały klient
388,M,8,Zwykły
389,K,31,Pracownik
390,K,9,Stały klient
391,K,75,Stały klient
392,M,59,Stały klient
393,M,44,Stały klient
394,K,44,Stały klient
395,K,38,Zwykły
396,K,3,Zwykły
397,M,12,Stały klient
398,K,73,Pracownik
399,M,53,Zwykły
400,M,30,Zwykły
401,M,18,Stały klient
402,M,64,Stały klient
403,M,19,Zwykły
404,K,72,Stały klient
405,K,42,Stały klient
406,M,18,Stały klient
407,K,66,Stały klient
408,M,53,Zwykły
409,M,69,Pracownik
410,K,17,Stały klient
411,M,16,Stały klient
412,M,6,Stały klient
413,M,41,Zwykły
414,M,32,Zwykły
415,M,52,Stały klient
416,M,61,Pracownik
417,M,35,Zwykły
418,K,69,Pracownik
419,K,64,Stały klient
420,M,34,Pracownik
421,K,52,Pracownik
422,M,20,Zwykły
423,K,56,Zwykły
424,M,43,Stały klient
425,K,71,Stały klient
426,M,8,Pracownik
427,K,48,Stały klient
428,K,52,Stały klient
429,K,0,Pracownik
430,K,66,Stały klient
431,M,26,Pracownik
432,M,5,Zwykły
433,M,71,Zwykły
434,M,67,Zwykły
435,M,29,Pracownik
436,K,18,Pracownik
437,M,10,Stały klient
438,M,18,Pracownik
439,M,0,Stały klient
440,M,20,Stały klient
441,M,49,Zwykły
442,M,72,Stały klient
443,K,4,Zwykły
444,M,49,Pracownik
445,M,72,Zwykły
446,K,37,Zwykły
447,M,23,Pracownik
448,K,31,Zwykły
449,K,62,Pracownik
450,M,68,Zwykły
451,K,32,Zwykły
452,M,3,Stały klient
453,K,4,Zwykły
454,M,31,Stały klient
455,M,69,Pracownik
456,M,15,Stały klient
457,M,73,Zwykły
458,K,16,Zwykły
459,M,52,Stały klient
460,K,69,Pracownik
461,M,64,Stały klient
462,M,71,Stały klient
463,K,58,Stały klient
464,K,11,Stały klient
465,K,7,Zwykły
466,M,27,Zwykły
467,K,24,Pracownik
468,K,64,Pracownik
469,M,12,Pracownik
470,M,31,Pracownik
471,M,42,Stały klient
472,M,31,Pracownik
473,M,41,Stały klient
474,K,28,Pracownik
475,M,64,Zwykły
476,K,70,Pracownik
477,K,11,Stały klient
478,K,75,Pracownik
479,M,65,Stały klient
480,M,4,Pracownik
481,K,14,Pracownik
482,M,49,Stały klient
483,M,17,Pracownik
484,M,62,Stały klient
485,K,53,Zwykły
486,K,0,Zwykły
487,K,67,Pracownik
488,M,15,Pracownik
489,M,72,Stały klient
490,M,35,Pracownik
491,K,26,Stały klient
492,M,10,Stały klient
493,K,63,Pracownik
494,K,26,Pracownik
495,K,46,Zwykły
496,M,16,Pracownik
497,K,71,Stały klient
498,K,55,Pracownik
499,K,15,Stały klient
500,M,38,Stały klient
501,M,67,Pracownik
502,K,72,Stały klient
503,K,47,Stały klient
504,K,27,Stały klient
505,K,4,Stały klient
506,M,45,Stały klient
507,M,4,Pracownik
508,K,64,Pracownik
509,M,17,Stały klient
510,K,71,Stały klient
511,K,66,Pracownik
512,K,35,Stały klient
513,K,45,Zwykły
514,K,51,Pracownik
515,M,79,Pracownik
516,M,16,Zwykły
517,K,33,Zwykły
518,M,64,Stały klient
519,M,80,Stały klient
520,M,73,Zwykły
521,K,8,Stały klient
522,K,68,Pracownik
523,M,44,Pracownik
524,K,78,Zwykły
525,M,24,Zwykły
526,M,2,Stały klient
527,M,51,Zwykły
528,M,78,Pracownik
529,K,44,Stały klient
530,K,16,Stały klient
531,K,9,Stały klient
532,M,59,Stały klient
533,M,62,Stały klient
534,M,0,Zwykły
535,K,54,Stały klient
536,M,78,Stały klient
537,M,25,Zwykły
538,K,6,Pracownik
539,M,29,Pracownik
540,K,78,Pracownik
541,K,14,Stały klient
542,K,15,Zwykły
543,M,22,Pracownik
544,K,73,Zwykły
545,M,61,Zwykły
546,M,6,Stały klient
547,K,69,Pracownik
548,M,10,Zwykły
549,K,15,Zwykły
550,K,6,Pracownik
551,M,49,Stały klient
552,M,39,Pracownik
553,K,21,Stały klient
554,K,15,Zwykły
555,K,19,Pracownik
556,K,40,Zwykły
557,K,57,Pracownik
558,M,29,Stały klient
559,M,35,Pracownik
560,K,0,Stały klient
561,K,48,Pracownik
562,K,11,Zwykły
563,M,27,Zwykły
564,M,21,Zwykły
565,M,35,Stały klient
566,M,24,Pracownik
567,K,23,Stały klient
568,M,47,Zwykły
569,K,80,Stały klient
570,K,63,Pracownik
571,M,15,Pracownik
572,M,26,Zwykły
573,K,69,Stały klient
574,M,43,Pracownik
575,M,3,Pracownik
576,K,9,Pracownik
577,M,58,Pracownik
578,K,1,Zwykły
579,M,70,Zwykły
580,M,0,Pracownik
581,K,8,Zwykły
582,M,13,Pracownik
583,K,49,Pracownik
584,K,78,Zwykły
585,K,29,Pracownik
586,M,71,Pracownik
587,K,68,Pracownik
588,M,14,Pracownik
589,K,58,Zwykły
590,K,64,Zwykły
591,K,14,Stały klient
592,K,24,Zwykły
593,K,65,Zwykły
594,K,56,Stały klient
595,M,21,Stały klient
596,K,18,Pracownik
597,K,7,Pracownik
598,M,11,Zwykły
599,M,35,Stały klient
600,K,62,Stały klient
601,M,2,Stały klient
602,K,12,Pracownik
603,K,60,Stały klient
604,K,46,Stały klient
605,M,45,Stały klient
606,K,65,Zwykły
607,M,74,Stały klient
608,M,46,Zwykły
609,K,14,Zwykły
610,M,40,Stały klient
611,M,38,Stały klient
612,K,70,Pracownik
613,K,28,Stały klient
614,K,69,Pracownik
615,K,18,Pracownik
616,M,67,Zwykły
617,M,24,Pracownik
618,M,76,Pracownik
619,M,4,Stały klient
620,M,59,Stały klient
621,K,63,Zwykły
622,M,63,Pracownik
623,M,12,Stały klient
624,K,67,Stały klient
625,M,14,Stały klient
626,K,45,Stały klient
627,M,29,Stały klient
628,K,72,Stały klient
629,M,23,Stały klient
630,K,54,Zwykły
631,K,57,Stały klient
632,K,79,Pracownik
633,K,22,Zwykły
634,M,64,Stały klient
635,K,12,Zwykły
636,K,14,Pracownik
637,K,2,Pracownik
638,K,3,Pracownik
639,M,45,Pracownik
640,K,41,Stały klient
641,M,1,Zwykły
642,M,25,Stały klient
643,K,27,Pracownik
644,M,4,Pracownik
645,M,23,Pracownik
646,M,11,Zwykły
647,K,21,Pracownik
648,M,8,Pracownik
649,K,17,Stały klient
650,K,58,Stały klient
651,M,47,Stały klient
652,K,17,Zwykły
653,K,34,Stały klient
654,K,4,Stały klient
655,K,48,Pracownik
656,K,29,Pracownik
657,M,56,Zwykły
658,M,23,Zwykły
659,M,17,Zwykły
660,M,12,Pracownik
661,M,61,Pracownik
662,K,53,Pracownik
663,M,77,Stały klient
664,M,13,Zwykły
665,K,64,Zwykły
666,M,22,Stały klient
667,M,2,Zwykły
668,K,52,Pracownik
669,K,65,Zwykły
670,M,69,Stały klient
671,M,66,Stały klient
672,M,46,Pracownik
673,M,52,Zwykły
674,K,38,Stały klient
675,K,17,Pracownik
676,M,9,Stały klient
677,K,16,Zwykły
678,K,65,Pracownik
679,M,33,Zwykły
680,M,16,Pracownik
681,M,79,Zwykły
682,M,76,Zwykły
683,M,66,Pracownik
684,K,35,Pracownik
685,K,33,Pracownik
686,M,53,Zwykły
687,K,72,Zwykły
688,M,18,Zwykły
689,K,26,Stały klient
690,K,70,Pracownik
691,M,69,Pracownik
692,M,54,Stały klient
693,K,16,Zwykły
694,K,42,Zwykły
695,K,67,Stały klient
696,K,52,Pracownik
697,K,11,Stały klient
698,M,2,Zwykły
699,K,17,Zwykły
700,K,1,Zwykły
701,M,55,Zwykły
702,K,35,Zwykły
703,K,38,Pracownik
704,M,34,Pracownik
705,K,75,Pracownik
706,M,44,Stały klient
707,K,17,Pracownik
708,K,49,Stały klient
709,M,24,Zwykły
710,M,74,Stały klient
711,K,53,Pracownik
712,M,1,Zwykły
713,M,1,Stały klient
714,M,4,Zwykły
715,M,49,Pracownik
716,K,73,Zwykły
717,K,59,Zwykły
718,K,58,Pracownik
719,M,75,Zwykły
720,M,48,Zwykły
721,M,0,Pracownik
722,K,30,Zwykły
723,M,37,Zwykły
724,K,65,Stały klient
725,K,26,Pracownik
726,K,0,Zwykły
727,M,28,Zwykły
728,K,33,Zwykły
729,K,16,Zwykły
730,K,47,Zwykły
731,M,56,Stały klient
732,K,80,Pracownik
733,M,11,Zwykły
734,K,22,Pracownik
735,K,65,Zwykły
736,M,43,Zwykły
737,K,77,Zwykły
738,K,39,Stały klient
739,M,77,Zwykły
740,K,41,Zwykły
741,K,56,Zwykły
742,M,10,Zwykły
743,M,40,Pracownik
744,M,28,Zwykły
745,M,24,Stały klient
746,K,42,Pracownik
747,K,73,Stały klient
748,K,12,Pracownik
749,M,30,Zwykły
750,M,11,Stały klient
751,M,5,Stały klient
752,M,75,Zwykły
753,K,2,Pracownik
754,M,17,Pracownik
755,K,58,Zwykły
756,M,37,Pracownik
757,K,48,Stały klient
758,K,32,Zwykły
759,M,46,Zwykły
760,M,46,Zwykły
761,M,75,Pracownik
762,M,1,Stały klient
763,K,68,Pracownik
764,M,31,Zwykły
765,M,23,Zwykły
766,K,48,Stały klient
767,M,15,Zwykły
768,M,55,Pracownik
769,M,33,Stały klient
770,K,7,Stały klient
771,K,51,Pracownik
772,K,34,Zwykły
773,K,22,Stały klient
774,K,9,Pracownik
775,M,63,Zwykły
776,K,61,Pracownik
777,K,48,Pracownik
778,K,21,Stały klient
779,K,66,Pracownik
780,M,74,Zwykły
781,K,59,Zwykły
782,M,24,Zwykły
783,M,49,Pracownik
784,M,14,Pracownik
785,M,10,Stały klient
786,M,42,Zwykły
787,M,55,Stały klient
788,M,69,Zwykły
789,M,67,Zwykły
790,K,64,Pracownik
791,K,18,Zwykły
792,K,24,Stały klient
793,M,3,Zwykły
794,M,61,Stały klient
795,M,27,Zwykły
796,M,60,Stały klient
797,M,71,Zwykły
798,K,50,Stały klient
799,K,53,Zwykły
800,K,52,Pracownik
801,M,41,Zwykły
802,K,40,Pracownik
803,K,77,Pracownik
804,K,66,Stały klient
805,M,80,Pracownik
806,K,33,Pracownik
807,K,7,Stały klient
808,M,20,Zwykły
809,K,53,Zwykły
810,K,73,Zwykły
811,K,37,Zwykły
812,M,43,Stały klient
813,K,80,Pracownik
814,M,32,Pracownik
815,M,9,Pracownik
816,M,16,Stały klient
817,M,3,Stały klient
818,M,14,Stały klient
819,K,8,Zwykły
820,M,3,Pracownik
821,M,39,Pracownik
822,K,31,Pracownik
823,M,43,Stały klient
824,K,66,Stały klient
825,K,37,Stały klient
826,K,0,Zwykły
827,K,3,Zwykły
828,K,13,Zwykły
829,K,3,Pracownik
830,M,63,Stały klient
831,K,36,Zwykły
832,M,38,Zwykły
833,K,50,Stały klient
834,K,67,Pracownik
835,M,66,Zwykły
836,M,10,Zwykły
837,K,57,Zwykły
838,K,30,Zwykły
839,K,47,Zwykły
840,K,37,Stały klient
841,K,68,Zwykły
842,K,53,Pracownik
843,K,25,Stały klient
844,K,44,Pracownik
845,K,22,Pracownik
846,M,26,Stały klient
847,M,42,Zwykły
848,M,31,Zwykły
849,M,36,Stały klient
850,K,35,Stały klient
851,K,25,Stały klient
852,M,41,Pracownik
853,M,64,Pracownik
854,M,11,Pracownik
855,K,22,Pracownik
856,K,78,Zwykły
857,K,32,Stały klient
858,M,67,Zwykły
859,K,8,Stały klient
860,K,79,Stały klient
861,K,46,Pracownik
862,M,50,Stały klient
863,M,34,Stały klient
864,K,64,Zwykły
865,K,22,Zwykły
866,K,54,Pracownik
867,M,22,Stały klient
868,M,48,Zwykły
869,K,61,Stały klient
870,M,2,Pracownik
871,K,55,Stały klient
872,K,11,Stały klient
873,K,75,Pracownik
874,M,12,Zwykły
875,M,62,Zwykły
876,K,51,Pracownik
877,M,54,Zwykły
878,K,72,Zwykły
879,M,58,Stały klient
880,M,34,Zwykły
881,K,56,Pracownik
882,M,27,Pracownik
883,M,4,Pracownik
884,M,6,Pracownik
885,M,49,Zwykły
886,M,7,Zwykły
887,K,43,Pracownik
888,M,77,Pracownik
889,M,3,Stały klient
890,K,61,Stały klient
891,K,53,Stały klient
892,K,20,Pracownik
893,K,23,Stały klient
894,K,13,Zwykły
895,K,7,Stały klient
896,M,39,Pracownik
897,K,27,Zwykły
898,K,52,Pracownik
899,M,18,Stały klient
900,M,2,Pracownik
901,M,42,Pracownik
902,M,19,Pracownik
903,K,70,Zwykły
904,M,22,Zwykły
905,M,75,Pracownik
906,K,71,Stały klient
907,M,24,Pracownik
908,K,69,Zwykły
909,K,12,Zwykły
910,M,25,Pracownik
911,M,7,Stały klient
912,K,11,Stały klient
913,M,64,Pracownik
914,K,24,Pracownik
915,K,54,Pracownik
916,K,33,Stały klient
917,K,19,Zwykły
918,M,17,Pracownik
919,M,58,Stały klient
920,K,66,Pracownik
921,M,73,Pracownik
922,K,62,Zwykły
923,M,18,Stały klient
924,K,43,Zwykły
925,K,31,Pracownik
926,M,20,Pracownik
927,K,68,Pracownik
928,M,41,Pracownik
929,K,3,Zwykły
930,M,0,Stały klient
931,K,29,Pracownik
932,K,13,Stały klient
933,M,7,Stały klient
934,K,66,Zwykły
935,K,17,Stały klient
936,K,23,Stały klient
937,K,68,Zwykły
938,M,36,Stały klient
939,M,65,Zwykły
940,M,64,Pracownik
941,K,74,Stały klient
942,M,6,Stały klient
943,K,19,Zwykły
944,K,74,Stały klient
945,K,13,Pracownik
946,M,8,Stały klient
947,M,23,Stały klient
948,K,1,Zwykły
949,M,15,Zwykły
950,K,18,Pracownik
951,M,54,Stały klient
952,K,26,Stały klient
953,K,79,Pracownik
954,M,30,Pracownik
955,M,69,Pracownik
956,K,76,Zwykły
957,M,61,Stały klient
958,M,35,Zwykły
959,K,25,Stały klient
960,M,60,Zwykły
961,M,77,Pracownik
962,K,37,Pracownik
963,K,16,Pracownik
964,K,77,Zwykły
965,K,21,Pracownik
966,M,54,Stały klient
967,M,71,Zwykły
968,K,30,Pracownik
969,M,1,Stały klient
970,M,11,Stały klient
971,K,11,Stały klient
972,M,22,Stały klient
973,K,26,Stały klient
974,K,70,Zwykły
975,M,55,Stały klient
976,M,47,Pracownik
977,M,73,Pracownik
978,M,6,Pracownik
979,K,6,Stały klient
980,K,60,Stały klient
981,K,7,Pracownik
982,M,76,Stały klient
983,M,2,Stały klient
984,M,11,Pracownik
985,M,1,Stały klient
986,K,36,Pracownik
987,M,12,Zwykły
988,K,33,Pracownik
989,M,45,Pracownik
990,M,58,Stały klient
991,M,1,Zwykły
992,M,65,Pracownik
993,M,15,Zwykły
994,K,61,Pracownik
995,K,45,Zwykły
996,K,32,Pracownik
997,K,20,Stały klient
998,M,31,Stały klient
999,K,25,Zwykły
1000,M,64,Pracownik
1001,M,10,Stały klient
1002,M,56,Pracownik
1003,M,22,Stały klient
1004,K,71,Stały klient
1005,M,16,Pracownik
1006,M,68,Pracownik
1007,M,50,Zwykły
1008,M,38,Pracownik
1009,K,45,Pracownik
1010,K,79,Zwykły
1011,K,15,Stały klient
1012,K,8,Stały klient
1013,K,47,Zwykły
1014,M,48,Zwykły
1015,M,20,Stały klient
1016,K,61,Zwykły
1017,K,15,Pracownik
1018,M,32,Pracownik
1019,M,46,Zwykły
1020,K,46,Zwykły
1021,M,12,Stały klient
1022,M,68,Pracownik
1023,K,50,Pracownik
1024,K,55,Zwykły
1025,M,5,Pracownik
1026,K,63,Zwykły
1027,M,37,Stały klient
1028,K,15,Stały klient
1029,M,61,Zwykły
1030,K,7,Pracownik
1031,K,75,Zwykły
1032,K,34,Pracownik
1033,M,42,Pracownik
1034,K,27,Stały klient
1035,M,32,Zwykły
1036,K,35,Zwykły
1037,K,30,Pracownik
1038,K,4,Zwykły
1039,M,12,Zwykły
1040,K,62,Pracownik
1041,K,56,Pracownik
1042,M,25,Stały klient
1043,M,77,Zwykły
1044,M,35,Pracownik
1045,K,53,Stały klient
1046,K,7,Pracownik
1047,M,32,Stały klient
1048,K,33,Stały klient
1049,M,64,Stały klient
1050,K,27,Stały klient
1051,M,59,Pracownik
1052,M,12,Pracownik
1053,K,52,Stały klient
1054,K,9,Zwykły
1055,K,79,Pracownik
1056,M,30,Zwykły
1057,K,20,Pracownik
1058,M,56,Pracownik
1059,K,61,Pracownik
1060,K,43,Zwykły
1061,M,3,Zwykły
1062,M,13,Stały klient
1063,K,44,Stały klient
1064,K,6,Zwykły
1065,M,20,Pracownik
1066,M,31,Stały klient
1067,K,1,Zwykły
1068,K,55,Zwykły
1069,M,39,Pracownik
1070,M,68,Pracownik
1071,K,42,Pracownik
1072,K,36,Zwykły
1073,M,17,Pracownik
1074,K,46,Stały klient
1075,K,38,Stały klient
1076,K,37,Zwykły
1077,K,21,Zwykły
1078,M,16,Pracownik
1079,K,38,Pracownik
1080,M,54,Zwykły
1081,K,3,Stały klient
1082,M,3,Zwykły
1083,K,63,Stały klient
1084,K,50,Zwykły
1085,K,49,Pracownik
1086,K,38,Pracownik
1087,K,45,Stały klient
1088,M,37,Pracownik
1089,K,9,Pracownik
1090,M,36,Pracownik
1091,K,61,Zwykły
1092,K,53,Pracownik
1093,M,49,Zwykły
1094,M,60,Pracownik
1095,K,36,Stały klient
1096,M,80,Stały klient
1097,M,16,Stały klient
1098,K,1,Pracownik
1099,M,64,Pracownik
1100,K,57,Zwykły
1101,M,61,Zwykły
1102,M,12,Stały klient
1103,M,25,Zwykły
1104,M,34,Zwykły
1105,K,78,Stały klient
1106,M,45,Pracownik
1107,K,14,Zwykły
1108,K,30,Stały klient
1109,M,79,Pracownik
1110,K,57,Stały klient
1111,M,26,Stały klient
1112,K,50,Zwykły
1113,M,61,Stały klient
1114,K,66,Pracownik
1115,K,9,Stały klient
1116,M,12,Zwykły
1117,M,37,Pracownik
1118,K,75,Stały klient
1119,K,58,Stały klient
1120,M,18,Zwykły
1121,K,18,Stały klient
1122,M,35,Zwykły
1123,K,32,Pracownik
1124,K,3,Zwykły
1125,K,56,Zwykły
1126,M,10,Zwykły
1127,K,63,Stały klient
1128,K,79,Zwykły
1129,K,12,Pracownik
1130,M,0,Zwykły
1131,K,77,Zwykły
1132,M,64,Pracownik
1133,K,39,Pracownik
1134,M,50,Stały klient
1135,K,48,Pracownik
1136,M,2,Stały klient
1137,M,7,Zwykły
1138,M,30,Zwykły
1139,K,56,Zwykły
1140,M,2,Pracownik
1141,M,45,Zwykły
1142,K,28,Pracownik
1143,K,41,Zwykły
1144,M,59,Pracownik
1145,K,50,Stały klient
1146,M,12,Zwykły
1147,K,14,Zwykły
1148,M,73,Stały klient
1149,M,4,Stały klient
1150,K,44,Pracownik
1151,M,80,Pracownik
